1531,2316,991,0,1444.541995
1914,2350,920,45,1817.133169
1637,2062,867,59,1947.089366
1989,2098,887,58,1714.971073
1146,2301,915,46,1868.214218
932,2499,710,50,1638.349501
778,2309,665,25,1625.415728
1020,2425,638,24,1469.23419
1115,2385,677,22,2195.111724
1191,2077,586,17,1768.505442
1237,2176,523,8,1447.546762
1244,2107,555,26,1478.345629
1244,1775,556,0,1821.632745
